,id,query,label,tokened,token
49,49,رئیس دانشگاه چه کسی است,2,"['رئیس', 'دانشگاه', 'چه', 'کسی', 'است']","['رئیس', 'دانشگاه', 'چه', 'کسی', 'است']"
50,50,هوا خیلی سرد شده است,5,"['هوا', 'خیلی', 'سرد', 'شده_است']","['هوا', 'خیلی', 'سرد', 'شده_است']"
51,51,حداکثر چند کتاب رو می تونم همزمان امانت بگیرم,3,"['حداکثر', 'چند', 'کتاب', 'رو', 'می', 'تونم', 'همزمان', 'امانت', 'بگیرم']","['حداکثر', 'چند', 'کتاب', 'رو', 'می', 'تونم', 'همزمان', 'امانت', 'بگیرم']"
52,52,اتاق معاون آموزشی کجاست,2,"['اتاق', 'معاون', 'آموزشی', 'کجاست']","['اتاق', 'معاون', 'آموزشی', 'کجاست']"
53,53,تی ای های فلان درس اصلا خوب نیستند,4,"['تی', 'ای', 'های', 'فلان', 'درس', 'اصلا', 'خوب', 'نیستند']","['تی', 'ای', 'های', 'فلان', 'درس', 'اصلا', 'خوب', 'نیستند']"
54,54,لطفا تعداد اساتید درس ریزپردازنده را بیشتر کنید,4,"['لطفا', 'تعداد', 'اساتید', 'درس', 'ریزپردازنده', 'را', 'بیشتر', 'کنید']","['لطفا', 'تعداد', 'اساتید', 'درس', 'ریزپردازنده', 'را', 'بیشتر', 'کنید']"
55,55,دانشگاه سالن دارد,5,"['دانشگاه', 'سالن', 'دارد']","['دانشگاه', 'سالن', 'دارد']"
56,56,آیا در حذف اظطراری هر چند واحد می خواهیم می توانیم حذف کنیم,1,"['آیا', 'در', 'حذف', 'اظطراری', 'هر', 'چند', 'واحد', 'می', 'خواهیم_می', 'توانیم', 'حذف', 'کنیم']","['آیا', 'در', 'حذف', 'اظطراری', 'هر', 'چند', 'واحد', 'می', 'خواهیم_می', 'توانیم', 'حذف', 'کنیم']"
57,57,سلف غذاخوری کجاست,2,"['سلف', 'غذاخوری', 'کجاست']","['سلف', 'غذاخوری', 'کجاست']"
58,58,می خواهم دانشکده را برای جشن عروسی رزرو کنم,2,"['می', 'خواهم_دانشکده', 'را', 'برای', 'جشن', 'عروسی', 'رزرو', 'کنم']","['می', 'خواهم_دانشکده', 'را', 'برای', 'جشن', 'عروسی', 'رزرو', 'کنم']"
59,59,دستشویی کجاست,2,"['دستشویی', 'کجاست']","['دستشویی', 'کجاست']"
60,60,تعداد انجمن علمی ها خیلی کم است,4,"['تعداد', 'انجمن', 'علمی', 'ها', 'خیلی', 'کم', 'است']","['تعداد', 'انجمن', 'علمی', 'ها', 'خیلی', 'کم', 'است']"
61,61,مهلت وارد کردن نمره برای درس رو بیشتر کنین,4,"['مهلت', 'وارد', 'کردن', 'نمره', 'برای', 'درس', 'رو', 'بیشتر', 'کنین']","['مهلت', 'وارد', 'کردن', 'نمره', 'برای', 'درس', 'رو', 'بیشتر', 'کنین']"
62,62,شرایط مشروط شدن را نمی,1,"['شرایط', 'مشروط', 'شدن', 'را', 'نمی']","['شرایط', 'مشروط', 'شدن', 'را', 'نمی']"
63,63,تاریخ انتخاب واحد چه روزی است,1,"['تاریخ', 'انتخاب', 'واحد', 'چه', 'روزی', 'است']","['تاریخ', 'انتخاب', 'واحد', 'چه', 'روزی', 'است']"
64,64,سلف کجاست,2,"['سلف', 'کجاست']","['سلف', 'کجاست']"
65,65,قیمت این پیتزا چند,5,"['قیمت', 'این', 'پیتزا', 'چند']","['قیمت', 'این', 'پیتزا', 'چند']"
66,66,آیا کتابخانه کتاب سیگنال اپنهایم رو داره,3,"['آیا', 'کتابخانه', 'کتاب', 'سیگنال', 'اپنهایم', 'رو', 'داره']","['آیا', 'کتابخانه', 'کتاب', 'سیگنال', 'اپنهایم', 'رو', 'داره']"
67,67,شماره تلفن اتاق دکتر ابراهیمی مقدم چند است,2,"['شماره', 'تلفن', 'اتاق', 'دکتر', 'ابراهیمی', 'مقدم', 'چند', 'است']","['شماره', 'تلفن', 'اتاق', 'دکتر', 'ابراهیمی', 'مقدم', 'چند', 'است']"
68,68,کامپیوتر سایت اینتدنت دارد,3,"['کامپیوتر', 'سایت', 'اینتدنت', 'دارد']","['کامپیوتر', 'سایت', 'اینتدنت', 'دارد']"
69,69,یکی از کامپیوتر های سایت مشکل داره,3,"['یکی', 'از', 'کامپیوتر', 'های', 'سایت', 'مشکل', 'داره']","['یکی', 'از', 'کامپیوتر', 'های', 'سایت', 'مشکل', 'داره']"
70,70,کجا میتوانم جست و جو کنم,3,"['کجا', 'میتوانم', 'جست', 'و', 'جو', 'کنم']","['کجا', 'میتوانم', 'جست', 'و', 'جو', 'کنم']"
71,71,آخرین مهلت حذف کی است,1,"['آخرین', 'مهلت', 'حذف', 'کی', 'است']","['آخرین', 'مهلت', 'حذف', 'کی', 'است']"
72,72,چقدر جریمه دارم,3,"['چقدر', 'جریمه', 'دارم']","['چقدر', 'جریمه', 'دارم']"
73,73,کلاس هوش مصنوعی در کدام کلاس برقرار می شود ,2,"['کلاس', 'هوش', 'مصنوعی', 'در', 'کدام', 'کلاس', 'برقرار', 'می', 'شود']","['کلاس', 'هوش', 'مصنوعی', 'در', 'کدام', 'کلاس', 'برقرار', 'می', 'شود']"
74,74,به استادا بگید تابم کافی بدن واسه امتحان,4,"['به', 'استادا', 'بگید', 'تابم', 'کافی', 'بدن', 'واسه', 'امتحان']","['به', 'استادا', 'بگید', 'تابم', 'کافی', 'بدن', 'واسه', 'امتحان']"
75,75,دانشکده ریاضی چه قدر فاصله دارد,2,"['دانشکده', 'ریاضی', 'چه', 'قدر', 'فاصله', 'دارد']","['دانشکده', 'ریاضی', 'چه', 'قدر', 'فاصله', 'دارد']"
76,76,معافیت تحصیلی تا کیه,5,"['معافیت', 'تحصیلی', 'تا', 'کیه']","['معافیت', 'تحصیلی', 'تا', 'کیه']"
77,77,هاب کجاست,2,"['هاب', 'کجاست']","['هاب', 'کجاست']"
78,78,چارت مهندسی کامپیوتر را بهتر کنید,4,"['چارت', 'مهندسی', 'کامپیوتر', 'را', 'بهتر', 'کنید']","['چارت', 'مهندسی', 'کامپیوتر', 'را', 'بهتر', 'کنید']"
79,79,کنکور ارشد چه تاریخی برگزار میشه,5,"['کنکور', 'ارشد', 'چه', 'تاریخی', 'برگزار', 'میشه']","['کنکور', 'ارشد', 'چه', 'تاریخی', 'برگزار', 'میشه']"
80,80,سالن داشنگاه رو چجوری میشه گرفت,5,"['سالن', 'داشنگاه', 'رو', 'چجوری', 'میشه', 'گرفت']","['سالن', 'داشنگاه', 'رو', 'چجوری', 'میشه', 'گرفت']"
81,81,شرایط گرفتن معرفی به استاد چجوریه,1,"['شرایط', 'گرفتن', 'معرفی', 'به', 'استاد', 'چجوریه']","['شرایط', 'گرفتن', 'معرفی', 'به', 'استاد', 'چجوریه']"
82,82,پریز های میز ردیف آمفی تئاتر برق ندارند رسیدگی کنید,4,"['پریز', 'های', 'میز', 'ردیف', 'آمفی', 'تئاتر', 'برق', 'ندارند', 'رسیدگی', 'کنید']","['پریز', 'های', 'میز', 'ردیف', 'آمفی', 'تئاتر', 'برق', 'ندارند', 'رسیدگی', 'کنید']"
83,83,چگونه میتوان دروس پیشنیاز و همنیاز را با هم برداشت,1,"['چگونه', 'میتوان', 'دروس', 'پیشنیاز', 'و', 'همنیاز', 'را', 'با', 'هم', 'برداشت']","['چگونه', 'میتوان', 'دروس', 'پیشنیاز', 'و', 'همنیاز', 'را', 'با', 'هم', 'برداشت']"
84,84,یوزر نیم سیستم چیه,3,"['یوزر', 'نیم', 'سیستم', 'چیه']","['یوزر', 'نیم', 'سیستم', 'چیه']"
85,85,نمره,1,['نمره'],['نمره']
86,86,کیف پول من گمشده کسی آن را به شما تحویل نداده,2,"['کیف', 'پول', 'من', 'گمشده', 'کسی', 'آن', 'را', 'به', 'شما', 'تحویل', 'نداده']","['کیف', 'پول', 'من', 'گمشده', 'کسی', 'آن', 'را', 'به', 'شما', 'تحویل', 'نداده']"
87,87,خود اساتید نظرسنجی را می بینند,1,"['خود', 'اساتید', 'نظرسنجی', 'را', 'می', 'بینند']","['خود', 'اساتید', 'نظرسنجی', 'را', 'می', 'بینند']"
88,88,اساتید خیلی سختگیراند,4,"['اساتید', 'خیلی', 'سختگیراند']","['اساتید', 'خیلی', 'سختگیراند']"
89,89,رییس کل دانشگاه رو کجا می شود دید,2,"['رییس', 'کل', 'دانشگاه', 'رو', 'کجا', 'می', 'شود', 'دید']","['رییس', 'کل', 'دانشگاه', 'رو', 'کجا', 'می', 'شود', 'دید']"
90,90,میانگین h index اساتید دانشکده چقدر است,5,"['میانگین', 'h', 'index', 'اساتید', 'دانشکده', 'چقدر', 'است']","['میانگین', 'h', 'index', 'اساتید', 'دانشکده', 'چقدر', 'است']"
91,91,چگونه جریمه نخورم,3,"['چگونه', 'جریمه', 'نخورم']","['چگونه', 'جریمه', 'نخورم']"
92,92,سطح امتحانات با سطح آموزش تناسب ندارد,4,"['سطح', 'امتحانات', 'با', 'سطح', 'آموزش', 'تناسب', 'ندارد']","['سطح', 'امتحانات', 'با', 'سطح', 'آموزش', 'تناسب', 'ندارد']"
93,93,محل تشکیل کلاس مبانی کامپیوتر کجا است,2,"['محل', 'تشکیل', 'کلاس', 'مبانی', 'کامپیوتر', 'کجا', 'است']","['محل', 'تشکیل', 'کلاس', 'مبانی', 'کامپیوتر', 'کجا', 'است']"
94,94,چرا برای دانشجویان پارکینگ مناسب تعیبیه نشده است,5,"['چرا', 'برای', 'دانشجویان', 'پارکینگ', 'مناسب', 'تعیبیه', 'نشده_است']","['چرا', 'برای', 'دانشجویان', 'پارکینگ', 'مناسب', 'تعیبیه', 'نشده_است']"
95,95,نزدیکترین مکان به سلف غذا خوری چیست,2,"['نزدیکترین', 'مکان', 'به', 'سلف', 'غذا', 'خوری', 'چیست']","['نزدیکترین', 'مکان', 'به', 'سلف', 'غذا', 'خوری', 'چیست']"
96,96,معدل من در درصد ممتاز می باشد ,1,"['معدل', 'من', 'در', 'درصد', 'ممتاز', 'می', 'باشد']","['معدل', 'من', 'در', 'درصد', 'ممتاز', 'می', 'باشد']"
97,97,کامپیوتر های سایت اوبونتو نصب دارن,3,"['کامپیوتر', 'های', 'سایت', 'اوبونتو', 'نصب', 'دارن']","['کامپیوتر', 'های', 'سایت', 'اوبونتو', 'نصب', 'دارن']"
98,98,اتاق معاون آموزشی کدام طبقه است,2,"['اتاق', 'معاون', 'آموزشی', 'کدام', 'طبقه', 'است']","['اتاق', 'معاون', 'آموزشی', 'کدام', 'طبقه', 'است']"
99,99,اتوبوس خوابگاه چه ساعتی میاد,2,"['اتوبوس', 'خوابگاه', 'چه', 'ساعتی', 'میاد']","['اتوبوس', 'خوابگاه', 'چه', 'ساعتی', 'میاد']"
100,100,چرا زمان بعضی کلاس ها بیشتر از دقیقه است ,4,"['چرا', 'زمان', 'بعضی', 'کلاس', 'ها', 'بیشتر', 'از', 'دقیقه', 'است']","['چرا', 'زمان', 'بعضی', 'کلاس', 'ها', 'بیشتر', 'از', 'دقیقه', 'است']"
101,101,تنوع محصولات بوفه را بیشتر کنید,4,"['تنوع', 'محصولات', 'بوفه', 'را', 'بیشتر', 'کنید']","['تنوع', 'محصولات', 'بوفه', 'را', 'بیشتر', 'کنید']"
102,102,سطح تمرینات درس هوش مصنوعی بالاست,4,"['سطح', 'تمرینات', 'درس', 'هوش', 'مصنوعی', 'بالاست']","['سطح', 'تمرینات', 'درس', 'هوش', 'مصنوعی', 'بالاست']"
103,103,برای هر کلاس تعدادی سیم رابط قرار بدید,4,"['برای', 'هر', 'کلاس', 'تعدادی', 'سیم', 'رابط', 'قرار', 'بدید']","['برای', 'هر', 'کلاس', 'تعدادی', 'سیم', 'رابط', 'قرار', 'بدید']"
104,104,چرا برای فرجه و زمان استراحت دانشکده های مهندسی درست برنامه ریزی نشده است,5,"['چرا', 'برای', 'فرجه', 'و', 'زمان', 'استراحت', 'دانشکده', 'های', 'مهندسی', 'درست', 'برنامه', 'ریزی', 'نشده_است']","['چرا', 'برای', 'فرجه', 'و', 'زمان', 'استراحت', 'دانشکده', 'های', 'مهندسی', 'درست', 'برنامه', 'ریزی', 'نشده_است']"
105,105,سایت کجاس ,2,"['سایت', 'کجاس']","['سایت', 'کجاس']"
106,106,انجمن های دانشکده چی هستند,2,"['انجمن', 'های', 'دانشکده', 'چی', 'هستند']","['انجمن', 'های', 'دانشکده', 'چی', 'هستند']"
107,107,ممنون بابت سرویس دانشگاه,4,"['ممنون', 'بابت', 'سرویس', 'دانشگاه']","['ممنون', 'بابت', 'سرویس', 'دانشگاه']"
108,108,این کتاب را چه کسی برده است,3,"['این', 'کتاب', 'را', 'چه', 'کسی', 'برده_است']","['این', 'کتاب', 'را', 'چه', 'کسی', 'برده_است']"
109,109,اموزش فیزیک چندده,5,"['اموزش', 'فیزیک', 'چندده']","['اموزش', 'فیزیک', 'چندده']"
110,110,کتابخانه مختلط است,3,"['کتابخانه', 'مختلط', 'است']","['کتابخانه', 'مختلط', 'است']"
111,111,تسهیلات استعداد درخشان چیست,1,"['تسهیلات', 'استعداد', 'درخشان', 'چیست']","['تسهیلات', 'استعداد', 'درخشان', 'چیست']"
112,112,شرایط برداشتن رشته فرعی چیست,1,"['شرایط', 'برداشتن', 'رشته', 'فرعی', 'چیست']","['شرایط', 'برداشتن', 'رشته', 'فرعی', 'چیست']"
113,113,سرویس دانشگاه کجاست,5,"['سرویس', 'دانشگاه', 'کجاست']","['سرویس', 'دانشگاه', 'کجاست']"
114,114,ماشین قهوه دانشکده درست کار نمی کنه,4,"['ماشین', 'قهوه', 'دانشکده', 'درست', 'کار', 'نمی', 'کنه']","['ماشین', 'قهوه', 'دانشکده', 'درست', 'کار', 'نمی', 'کنه']"
115,115,حداقل نمره لازم برا قبولی در یک درس واحدی چیست ,1,"['حداقل', 'نمره', 'لازم', 'برا', 'قبولی', 'در', 'یک', 'درس', 'واحدی', 'چیست']","['حداقل', 'نمره', 'لازم', 'برا', 'قبولی', 'در', 'یک', 'درس', 'واحدی', 'چیست']"
116,116,ساعات حضور دکتر شاملی در دفترشان به چه صورت است,2,"['ساعات', 'حضور', 'دکتر', 'شاملی', 'در', 'دفترشان', 'به', 'چه', 'صورت', 'است']","['ساعات', 'حضور', 'دکتر', 'شاملی', 'در', 'دفترشان', 'به', 'چه', 'صورت', 'است']"
117,117,ساعت درس افزار رو درست کنید,4,"['ساعت', 'درس', 'افزار', 'رو', 'درست', 'کنید']","['ساعت', 'درس', 'افزار', 'رو', 'درست', 'کنید']"
118,118,آموزش کجاست,1,"['آموزش', 'کجاست']","['آموزش', 'کجاست']"
119,119,حذف و اضافه چند واحد میتوان تغییر داد,1,"['حذف', 'و', 'اضافه', 'چند', 'واحد', 'میتوان', 'تغییر', 'داد']","['حذف', 'و', 'اضافه', 'چند', 'واحد', 'میتوان', 'تغییر', 'داد']"
120,120,حذف و اضافه تا کیه,1,"['حذف', 'و', 'اضافه', 'تا', 'کیه']","['حذف', 'و', 'اضافه', 'تا', 'کیه']"
121,121,از کجا میتونم گواهی اشتغال به تحصیل بگیرم,1,"['از', 'کجا', 'میتونم', 'گواهی', 'اشتغال', 'به', 'تحصیل', 'بگیرم']","['از', 'کجا', 'میتونم', 'گواهی', 'اشتغال', 'به', 'تحصیل', 'بگیرم']"
122,122,چه بازه ای از معدل الف حساب میشود ,1,"['چه', 'بازه', 'ای', 'از', 'معدل', 'الف', 'حساب', 'میشود']","['چه', 'بازه', 'ای', 'از', 'معدل', 'الف', 'حساب', 'میشود']"
123,123,آیا امکان رزرو کتاب وجود دارد ,3,"['آیا', 'امکان', 'رزرو', 'کتاب', 'وجود', 'دارد']","['آیا', 'امکان', 'رزرو', 'کتاب', 'وجود', 'دارد']"
124,124,از کجا میتونم کتابای الکترونیک بگیرم ,3,"['از', 'کجا', 'میتونم', 'کتابای', 'الکترونیک', 'بگیرم']","['از', 'کجا', 'میتونم', 'کتابای', 'الکترونیک', 'بگیرم']"
125,125,مسئول حراست ادب را رعایت نمیکند,4,"['مسئول', 'حراست', 'ادب', 'را', 'رعایت', 'نمیکند']","['مسئول', 'حراست', 'ادب', 'را', 'رعایت', 'نمیکند']"
126,126,لیست دروس ارائه شده ترم آتی را از کجا میتوانم ببینم,1,"['لیست', 'دروس', 'ارائه', 'شده', 'ترم', 'آتی', 'را', 'از', 'کجا', 'میتوانم', 'ببینم']","['لیست', 'دروس', 'ارائه', 'شده', 'ترم', 'آتی', 'را', 'از', 'کجا', 'میتوانم', 'ببینم']"
127,127,با اتوبوس میشه رفت تجریش,5,"['با', 'اتوبوس', 'میشه', 'رفت', 'تجریش']","['با', 'اتوبوس', 'میشه', 'رفت', 'تجریش']"
128,128,کجا میشه نشست ,2,"['کجا', 'میشه', 'نشست']","['کجا', 'میشه', 'نشست']"
129,129,سیستم های سایت برای پردازش های سنگین جوابگو هست,3,"['سیستم', 'های', 'سایت', 'برای', 'پردازش', 'های', 'سنگین', 'جوابگو', 'هست']","['سیستم', 'های', 'سایت', 'برای', 'پردازش', 'های', 'سنگین', 'جوابگو', 'هست']"
130,130,مدارک مورد نیاز برای گرفتن وام دانشجویی,2,"['مدارک', 'مورد', 'نیاز', 'برای', 'گرفتن', 'وام', 'دانشجویی']","['مدارک', 'مورد', 'نیاز', 'برای', 'گرفتن', 'وام', 'دانشجویی']"
131,131,اتاق رییس دانشکده کدوم طبقه است,2,"['اتاق', 'رییس', 'دانشکده', 'کدوم', 'طبقه', 'است']","['اتاق', 'رییس', 'دانشکده', 'کدوم', 'طبقه', 'است']"
